"title","tomatometer","audience_score","sentiment","num_reviews","url"
"Confirmation | Rotten Tomatoes","84%","73%","0.2721103752652804","20","https://www.rottentomatoes.com/m/confirmation"
"Dean | Rotten Tomatoes","67%","66%","0.905550812681516","20","https://www.rottentomatoes.com/m/dean"
"Pearl | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/pearl"
"After the Reality | Rotten Tomatoes","N/A","50%","N/A","0","https://www.rottentomatoes.com/m/after_the_reality"
"Spark: A Space Tail | Rotten Tomatoes","13%","34%","-0.9739078432321548","10","https://www.rottentomatoes.com/m/spark_a_space_tail"
"A Hologram for the King | Rotten Tomatoes","70%","54%","0.009819346169630686","20","https://www.rottentomatoes.com/m/a_hologram_for_the_king"
"Captain America: Civil War | Rotten Tomatoes","90%","89%","0.9581449156006178","20","https://www.rottentomatoes.com/m/captain_america_civil_war"
"Keanu (2016) | Rotten Tomatoes","78%","55%","0.3227941667040189","20","https://www.rottentomatoes.com/m/keanu"
"The Crew | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/the_crew"
"The Crew | Rotten Tomatoes","N/A","40%","N/A","0","https://www.rottentomatoes.com/m/crew"
"Neighbors 2: Sorority Rising | Rotten Tomatoes","65%","44%","0.48989472538232803","20","https://www.rottentomatoes.com/m/neighbors_2_sorority_rising"
"Born to Win | Rotten Tomatoes","50%","33%","0.9994712769985199","2","https://www.rottentomatoes.com/m/born_to_win"
"The Arrival | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/the_arrival"
"The Arrival | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/arrival"
"The Angry Birds Movie | Rotten Tomatoes","44%","47%","-0.12556069592634836","20","https://www.rottentomatoes.com/m/the_angry_birds_movie"
"Café Society (2016) | Rotten Tomatoes","71%","56%","0.4836287125945091","20","https://www.rottentomatoes.com/m/caf_society"
"Money Monster | Rotten Tomatoes","59%","51%","-0.1777560462554296","20","https://www.rottentomatoes.com/m/money_monster"
"The Darkness | Rotten Tomatoes","3%","19%","-0.7235620692372322","8","https://www.rottentomatoes.com/m/the_darkness"
"Call | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/call"
"The Nice Guys | Rotten Tomatoes","91%","79%","0.8445848897099495","20","https://www.rottentomatoes.com/m/the_nice_guys"
"Sundown | Rotten Tomatoes","N/A","9%","N/A","0","https://www.rottentomatoes.com/m/sundown"
"Infinite | Rotten Tomatoes","17%","34%","-0.7489719713727633","20","https://www.rottentomatoes.com/m/infinite"
"Timecode | Rotten Tomatoes","69%","48%","0.37199598136875367","19","https://www.rottentomatoes.com/m/timecode"
"All the Way | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/all_the_way"
"Alice Through the Looking Glass | Rotten Tomatoes","N/A","50%","N/A","0","https://www.rottentomatoes.com/m/alice_through_the_looking_glass"
"Warcraft | Rotten Tomatoes","29%","76%","-0.6026684467991194","20","https://www.rottentomatoes.com/m/warcraft"
"Sour Grapes | Rotten Tomatoes","27%","36%","0.9926922023296356","2","https://www.rottentomatoes.com/m/sour_grapes"
"Bobby | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/bobby"
"The Neon Demon | Rotten Tomatoes","59%","51%","-0.07562924673159917","20","https://www.rottentomatoes.com/m/the_neon_demon"
"The BFG | Rotten Tomatoes","N/A","64%","N/A","0","https://www.rottentomatoes.com/m/the_bfg"
"Me Before You | Rotten Tomatoes","55%","73%","0.5225685884555181","20","https://www.rottentomatoes.com/m/me_before_you"
"Teenage Mutant Ninja Turtles: Out of the Shadows | Rotten Tomatoes","38%","47%","-0.08234508832295735","20","https://www.rottentomatoes.com/m/teenage_mutant_ninja_turtles_out_of_the_shadows"
"Now You See Me 2 | Rotten Tomatoes","34%","53%","-0.4177711730202039","20","https://www.rottentomatoes.com/m/now_you_see_me_2"
"Popstar: Never Stop Never Stopping | Rotten Tomatoes","79%","65%","0.39229658991098404","20","https://www.rottentomatoes.com/m/popstar_never_stop_never_stopping"
"Opening Night | Rotten Tomatoes","96%","90%","0.8426174993316333","14","https://www.rottentomatoes.com/m/opening_night"
"2 Jennifer | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/2_jennifer"
"Tess | Rotten Tomatoes","81%","77%","0.42822570353746414","20","https://www.rottentomatoes.com/m/tess"
"The Assignment | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/the_assignment"
"The Assignment | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/assignment"
"Don't Breathe | Rotten Tomatoes","N/A","83%","N/A","0","https://www.rottentomatoes.com/m/dont_breathe"
"The Conjuring 2 | Rotten Tomatoes","80%","82%","0.3852919364968936","20","https://www.rottentomatoes.com/m/the_conjuring_2"
"Collide | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/collide"
"Dracula | Rotten Tomatoes","N/A","39%","0.9991945624351501","1","https://www.rottentomatoes.com/m/dracula"
"Best Man | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/best_man"
"Central Intelligence | Rotten Tomatoes","71%","62%","0.3236410468816757","20","https://www.rottentomatoes.com/m/central_intelligence"
"Finding Dory | Rotten Tomatoes","94%","84%","0.41840893030166626","20","https://www.rottentomatoes.com/m/finding_dory"
"The Secret Life of Pets | Rotten Tomatoes","70%","62%","-0.16440247495969137","20","https://www.rottentomatoes.com/m/the_secret_life_of_pets"
"Adam | Rotten Tomatoes","N/A","57%","N/A","0","https://www.rottentomatoes.com/m/adam"
"Independence Day: Resurgence | Rotten Tomatoes","28%","30%","-0.6722586005926132","20","https://www.rottentomatoes.com/m/independence_day_resurgence"
"Ice Age: Collision Course | Rotten Tomatoes","18%","39%","-0.5890742341677347","20","https://www.rottentomatoes.com/m/ice_age_collision_course"
"Swiss Army Man | Rotten Tomatoes","73%","72%","0.05354899416367213","20","https://www.rottentomatoes.com/m/swiss_army_man"
"The Shallows | Rotten Tomatoes","79%","59%","0.261248158911864","20","https://www.rottentomatoes.com/m/the_shallows"
"Free State of Jones | Rotten Tomatoes","48%","64%","0.24757852405309677","20","https://www.rottentomatoes.com/m/free_state_of_jones"
"Adventures in Babysitting | Rotten Tomatoes","72%","70%","0.3650192432105541","16","https://www.rottentomatoes.com/m/adventures_in_babysitting"
"The Legend of Tarzan | Rotten Tomatoes","36%","58%","-0.0694671298066775","20","https://www.rottentomatoes.com/m/the_legend_of_tarzan"
"The Purge: Election Year | Rotten Tomatoes","55%","48%","0.16143944611152014","20","https://www.rottentomatoes.com/m/the_purge_election_year"
"Downhill | Rotten Tomatoes","89%","62%","0.49965593218803406","4","https://www.rottentomatoes.com/m/downhill"
"Cell | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/cell"
"Star Trek Beyond | Rotten Tomatoes","86%","80%","0.4995459665854772","20","https://www.rottentomatoes.com/m/star_trek_beyond"
"Mike and Dave Need Wedding Dates | Rotten Tomatoes","38%","51%","-0.5196389804283778","20","https://www.rottentomatoes.com/m/mike_and_dave_need_wedding_dates"
"Rock Dog | Rotten Tomatoes","47%","48%","-0.1662046561638514","20","https://www.rottentomatoes.com/m/rock_dog"
"Captain Fantastic | Rotten Tomatoes","82%","85%","0.2582387179136276","20","https://www.rottentomatoes.com/m/captain_fantastic"
"Sausage Party | Rotten Tomatoes","82%","50%","-0.011325173079967499","20","https://www.rottentomatoes.com/m/sausage_party"
"The Infiltrator | Rotten Tomatoes","72%","71%","0.2471434473991394","20","https://www.rottentomatoes.com/m/the_infiltrator"
"The Infiltrator | Rotten Tomatoes","N/A","58%","N/A","0","https://www.rottentomatoes.com/m/infiltrator"
"Ghostbusters | Rotten Tomatoes","95%","88%","0.524189189904266","19","https://www.rottentomatoes.com/m/ghostbusters"
"Simon | Rotten Tomatoes","67%","88%","0.9904800653457642","6","https://www.rottentomatoes.com/m/simon"
"The Unseen | Rotten Tomatoes","N/A","40%","N/A","0","https://www.rottentomatoes.com/m/unseen"
"The Unseen | Rotten Tomatoes","N/A","14%","0.9973356127738953","1","https://www.rottentomatoes.com/m/the_unseen"
"Beta Test | Rotten Tomatoes","N/A","23%","-0.9971920847892761","1","https://www.rottentomatoes.com/m/beta_test"
"Batman: The Killing Joke | Rotten Tomatoes","35%","50%","-0.999782383441925","1","https://www.rottentomatoes.com/m/batman_the_killing_joke"
"Jason Bourne | Rotten Tomatoes","55%","55%","-0.289326253036658","20","https://www.rottentomatoes.com/m/jason_bourne"
"Bad Moms | Rotten Tomatoes","59%","63%","-0.06038274119297663","20","https://www.rottentomatoes.com/m/bad_moms"
"The Fall (2019) | Rotten Tomatoes","N/A","N/A%","0.9998160004615784","1","https://www.rottentomatoes.com/m/the_fall"
"The Land | Rotten Tomatoes","N/A","N/A%","0.9998764991760254","1","https://www.rottentomatoes.com/m/land"
"Suicide Squad | Rotten Tomatoes","N/A","45%","-0.9995177984237671","1","https://www.rottentomatoes.com/m/suicide_squad"
"The Menu | Rotten Tomatoes","88%","76%","0.0061059022943178816","20","https://www.rottentomatoes.com/m/the_menu"
"Sweet Sixteen | Rotten Tomatoes","97%","88%","0.7469219888250033","20","https://www.rottentomatoes.com/m/sweet_sixteen"
"My Best Friend's Wedding | Rotten Tomatoes","74%","73%","0.3108154907822609","20","https://www.rottentomatoes.com/m/my_best_friends_wedding"
"The Challenge | Rotten Tomatoes","N/A","60%","N/A","0","https://www.rottentomatoes.com/m/the_challenge"
"The Challenge | Rotten Tomatoes","N/A","35%","N/A","0","https://www.rottentomatoes.com/m/challenge"
"Chosen | Rotten Tomatoes","N/A","41%","-0.9997469782829285","1","https://www.rottentomatoes.com/m/chosen"
"Pete's Dragon | Rotten Tomatoes","56%","60%","0.4080737680196762","4","https://www.rottentomatoes.com/m/petes_dragon"
"Hell or High Water | Rotten Tomatoes","97%","88%","0.7554290319482485","20","https://www.rottentomatoes.com/m/hell_or_high_water"
"Diggers | Rotten Tomatoes","69%","57%","0.5061683679620425","20","https://www.rottentomatoes.com/m/diggers"
"Born in China | Rotten Tomatoes","83%","73%","0.33409957587718964","20","https://www.rottentomatoes.com/m/born_in_china"
"Ben-Hur | Rotten Tomatoes","87%","89%","0.5703446447849274","13","https://www.rottentomatoes.com/m/benhur"
"War Dogs | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/war_dogs"
"Kubo and the Two Strings (2016) | Rotten Tomatoes","97%","86%","0.9099376425147057","20","https://www.rottentomatoes.com/m/kubo_and_the_two_strings"
"Forgiven | Rotten Tomatoes","N/A","60%","-0.9987025260925293","1","https://www.rottentomatoes.com/m/forgiven"
"The Love Machine | Rotten Tomatoes","N/A","N/A%","-0.9991511106491089","1","https://www.rottentomatoes.com/m/the_love_machine"
"The Love Machine | Rotten Tomatoes","N/A","N/A%","-0.40067023038864136","3","https://www.rottentomatoes.com/m/love_machine"
"Mechanic: Resurrection | Rotten Tomatoes","30%","40%","-0.27753105387091637","13","https://www.rottentomatoes.com/m/mechanic_resurrection"
"Hands of Stone | Rotten Tomatoes","44%","52%","-0.15946256617705026","20","https://www.rottentomatoes.com/m/hands_of_stone"
"Bad | Rotten Tomatoes","67%","66%","N/A","0","https://www.rottentomatoes.com/m/andy_warhols_bad"
"The Chamber | Rotten Tomatoes","13%","39%","-0.3327665726343791","6","https://www.rottentomatoes.com/m/the_chamber"
"The Chamber | Rotten Tomatoes","13%","39%","-0.9987920920054117","3","https://www.rottentomatoes.com/m/chamber"
"Ordinary People | Rotten Tomatoes","90%","88%","0.6646901046236356","20","https://www.rottentomatoes.com/m/ordinary_people"
"The 9th Life of Louis Drax | Rotten Tomatoes","38%","39%","-0.41372154653072357","20","https://www.rottentomatoes.com/m/the_9th_life_of_louis_drax"
"The Light Between Oceans | Rotten Tomatoes","62%","61%","0.05029973884423574","20","https://www.rottentomatoes.com/m/the_light_between_oceans"
"Dark Harvest | Rotten Tomatoes","N/A","28%","N/A","0","https://www.rottentomatoes.com/m/dark_harvest"
"Drum | Rotten Tomatoes","11%","50%","-0.06882154941558838","2","https://www.rottentomatoes.com/m/drum"
"Sully | Rotten Tomatoes","85%","84%","0.247230164706707","20","https://www.rottentomatoes.com/m/sully"
"The Birth of a Nation | Rotten Tomatoes","91%","40%","0.8604957051575184","9","https://www.rottentomatoes.com/m/birth_of_a_nation"
"When the Bough Breaks | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/when_the_bough_breaks"
"The Disappointments Room | Rotten Tomatoes","0%","17%","-0.7141242793628148","7","https://www.rottentomatoes.com/m/the_disappointments_room"
"The Perfect Weapon | Rotten Tomatoes","36%","63%","N/A","0","https://www.rottentomatoes.com/m/the_perfect_weapon"
"The Perfect Weapon | Rotten Tomatoes","36%","63%","-0.10484421253204346","5","https://www.rottentomatoes.com/m/perfect_weapon"
"My Entire High School Sinking Into the Sea | Rotten Tomatoes","84%","55%","0.7567716563741366","20","https://www.rottentomatoes.com/m/my_entire_high_school_sinking_into_the_sea"
"Paris Can Wait | Rotten Tomatoes","47%","38%","0.2580867260694504","20","https://www.rottentomatoes.com/m/paris_can_wait"
"The Magnificent Seven (2016) | Rotten Tomatoes","64%","71%","0.17062420646349588","20","https://www.rottentomatoes.com/m/the_magnificent_seven"
"Bridget Jones's Baby (2016) | Rotten Tomatoes","78%","64%","0.5845256522297859","20","https://www.rottentomatoes.com/m/bridget_joness_baby"
"Blair Witch | Rotten Tomatoes","38%","31%","-0.6689047440886497","20","https://www.rottentomatoes.com/m/blair_witch"
"Snowden | Rotten Tomatoes","61%","70%","-0.3923131376504898","20","https://www.rottentomatoes.com/m/snowden"
"Thank You for Your Service | Rotten Tomatoes","N/A","73%","0.006193339824676514","4","https://www.rottentomatoes.com/m/thank_you_for_your_service"
"Hillsong: Let Hope Rise | Rotten Tomatoes","67%","78%","0.21417229175567626","5","https://www.rottentomatoes.com/m/hillsong_let_hope_rise"
"The Last Descent | Rotten Tomatoes","N/A","71%","N/A","0","https://www.rottentomatoes.com/m/the_last_descent"
"Playground | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/playground"
"Storks | Rotten Tomatoes","65%","62%","0.42000215252240497","20","https://www.rottentomatoes.com/m/storks"
"Queen of Katwe (2016) | Rotten Tomatoes","94%","86%","0.9996587137381235","20","https://www.rottentomatoes.com/m/queen_of_katwe"
"Heartland | Rotten Tomatoes","100%","86%","N/A","0","https://www.rottentomatoes.com/m/heartland"
"Miss Peregrine's Home for Peculiar Children | Rotten Tomatoes","65%","60%","-0.16545264919598898","20","https://www.rottentomatoes.com/m/miss_peregrines_home_for_peculiar_children"
"Deepwater Horizon | Rotten Tomatoes","82%","82%","0.6596020882328352","20","https://www.rottentomatoes.com/m/deepwater_horizon"
"Indivisible | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/indivisible"
"Masterminds | Rotten Tomatoes","13%","49%","0.9981057643890381","1","https://www.rottentomatoes.com/m/masterminds"
"The Watcher | Rotten Tomatoes","11%","28%","-0.8456987688938776","20","https://www.rottentomatoes.com/m/watcher"
"The Plumber | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/the_plumber"
"The Plumber | Rotten Tomatoes","N/A","60%","N/A","0","https://www.rottentomatoes.com/m/plumber"
"The Net | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/the_net"
"The Net | Rotten Tomatoes","44%","44%","0.09850640719135602","14","https://www.rottentomatoes.com/m/net"
"Bornless Ones | Rotten Tomatoes","N/A","14%","0.9974544644355774","1","https://www.rottentomatoes.com/m/bornless_ones"
"Middle School: The Worst Years of My Life | Rotten Tomatoes","65%","59%","0.24795694649219513","16","https://www.rottentomatoes.com/m/middle_school_the_worst_years_of_my_life"
"A Monster Calls | Rotten Tomatoes","86%","81%","0.09927051514387131","20","https://www.rottentomatoes.com/m/a_monster_calls"
"Hacksaw Ridge | Rotten Tomatoes","84%","92%","0.6396087010701498","20","https://www.rottentomatoes.com/m/hacksaw_ridge"
"Supergirl | Rotten Tomatoes","19%","26%","-0.03141583253939947","20","https://www.rottentomatoes.com/m/supergirl"
"Moana | Rotten Tomatoes","87%","57%","0.4852732845715114","7","https://www.rottentomatoes.com/m/moana"
"Something New | Rotten Tomatoes","60%","72%","0.002242572605609894","20","https://www.rottentomatoes.com/m/something_new"
"The Accountant | Rotten Tomatoes","53%","77%","-0.45945052802562714","20","https://www.rottentomatoes.com/m/the_accountant"
"Trolls | Rotten Tomatoes","76%","67%","0.17636428773403168","20","https://www.rottentomatoes.com/m/trolls"
"Max Steel | Rotten Tomatoes","0%","48%","-0.6700933674971262","6","https://www.rottentomatoes.com/m/max_steel"
"Christine | Rotten Tomatoes","74%","65%","-0.1754892903069655","11","https://www.rottentomatoes.com/m/christine"
"#Screamers | Rotten Tomatoes","40%","25%","N/A","0","https://www.rottentomatoes.com/m/screamers"
"Kevin Hart: What Now? | Rotten Tomatoes","75%","58%","0.09030047804117203","20","https://www.rottentomatoes.com/m/kevin_hart_what_now"
"Tesla | Rotten Tomatoes","58%","43%","0.4829958255092303","20","https://www.rottentomatoes.com/m/tesla"
"Jack Reacher: Never Go Back | Rotten Tomatoes","37%","42%","-0.24306504180034003","20","https://www.rottentomatoes.com/m/jack_reacher_never_go_back"
"Ouija: Origin of Evil | Rotten Tomatoes","83%","58%","0.46184230347474414","20","https://www.rottentomatoes.com/m/ouija_origin_of_evil"
"American Pastoral | Rotten Tomatoes","24%","32%","-0.44972404340902966","20","https://www.rottentomatoes.com/m/american_pastoral"
"Heart of Stone | Rotten Tomatoes","N/A","25%","N/A","0","https://www.rottentomatoes.com/m/heart_of_stone"
"Origin | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/origin"
"I'm Not Ashamed | Rotten Tomatoes","22%","82%","-0.998019297917684","3","https://www.rottentomatoes.com/m/im_not_ashamed"
"3 Generations | Rotten Tomatoes","30%","44%","-0.47967664152383804","20","https://www.rottentomatoes.com/m/3_generations"
"An Eye for an Eye | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/an_eye_for_an_eye"
"The Garden (2020) | Rotten Tomatoes","N/A","N/A%","0.9996337890625","1","https://www.rottentomatoes.com/m/the_garden"
"Little Mermaid | Rotten Tomatoes","N/A","44%","N/A","0","https://www.rottentomatoes.com/m/little_mermaid"
"Parents | Rotten Tomatoes","67%","54%","0.9924488067626953","1","https://www.rottentomatoes.com/m/parents"
"Loving | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/loving"
"Bleed for This | Rotten Tomatoes","70%","70%","0.18225390215714773","20","https://www.rottentomatoes.com/m/bleed_for_this"
"Sing | Rotten Tomatoes","43%","88%","0.9997753500938416","1","https://www.rottentomatoes.com/m/sing"
"Sweet Dreams | Rotten Tomatoes","90%","81%","0.49827514588832855","8","https://www.rottentomatoes.com/m/sweet_dreams"
"Billy Lynn's Long Halftime Walk | Rotten Tomatoes","44%","41%","-0.24432299037774405","20","https://www.rottentomatoes.com/m/billy_lynns_long_halftime_walk"
"Fallen (2017) | Rotten Tomatoes","N/A","98%","0.19508355855941772","3","https://www.rottentomatoes.com/m/fallen"
"Shut In | Rotten Tomatoes","5%","23%","-0.872942615300417","14","https://www.rottentomatoes.com/m/shut_in"
"The Love Witch | Rotten Tomatoes","95%","61%","0.7475918953617414","20","https://www.rottentomatoes.com/m/the_love_witch"
"City of Joy | Rotten Tomatoes","56%","74%","-0.9917850693066915","3","https://www.rottentomatoes.com/m/city_of_joy"
"Fantastic Beasts and Where to Find Them | Rotten Tomatoes","74%","79%","0.3249012703696887","20","https://www.rottentomatoes.com/m/fantastic_beasts_and_where_to_find_them"
"Manchester by the Sea | Rotten Tomatoes","96%","78%","0.7107326462864876","20","https://www.rottentomatoes.com/m/manchester_by_the_sea"
"Paterson | Rotten Tomatoes","96%","72%","0.7379320313533148","20","https://www.rottentomatoes.com/m/paterson"
"The Edge of Seventeen | Rotten Tomatoes","94%","83%","0.9153894111514091","20","https://www.rottentomatoes.com/m/the_edge_of_seventeen"
"Rules Don't Apply | Rotten Tomatoes","56%","34%","0.3899531289935112","20","https://www.rottentomatoes.com/m/rules_dont_apply"
"Allied | Rotten Tomatoes","60%","64%","0.08404174695412318","20","https://www.rottentomatoes.com/m/allied"
"Bad Santa 2 | Rotten Tomatoes","23%","34%","-0.59215164432923","20","https://www.rottentomatoes.com/m/bad_santa_2"
"Communion | Rotten Tomatoes","46%","46%","N/A","0","https://www.rottentomatoes.com/m/communion"
"In Between | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/in_between"
"Blindness | Rotten Tomatoes","N/A","N/A%","-0.9998114705085754","1","https://www.rottentomatoes.com/m/blindness"
"Office Christmas Party | Rotten Tomatoes","41%","41%","-0.24630949646234512","20","https://www.rottentomatoes.com/m/office_christmas_party"
"Nocturne | Rotten Tomatoes","N/A","45%","N/A","0","https://www.rottentomatoes.com/m/nocturne"
"A Snow Capped Christmas | Rotten Tomatoes","N/A","46%","N/A","0","https://www.rottentomatoes.com/m/falling_for_christmas"
"Derailed | Rotten Tomatoes","20%","58%","-0.5829685777425766","20","https://www.rottentomatoes.com/m/derailed"
"La La Land | Rotten Tomatoes","91%","82%","0.8363608246048292","20","https://www.rottentomatoes.com/m/la_la_land"
"The Box | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/the_box"
"The Bachelor | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/the_bachelor"
"The Bachelor (1990) | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/bachelor"
"Turbulence | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/turbulence"
"Incarnate | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/incarnate"
"Swingers | Rotten Tomatoes","87%","88%","0.7495496546228726","11","https://www.rottentomatoes.com/m/swingers"
"Hidden Figures | Rotten Tomatoes","93%","93%","0.8324053138494492","20","https://www.rottentomatoes.com/m/hidden_figures"
"Rogue One: A Star Wars Story | Rotten Tomatoes","84%","87%","0.2329810286561648","20","https://www.rottentomatoes.com/m/rogue_one_a_star_wars_story"
"Collateral Beauty | Rotten Tomatoes","14%","64%","-0.653891310095787","20","https://www.rottentomatoes.com/m/collateral_beauty"
"The Devil's Candy | Rotten Tomatoes","93%","65%","0.743523895740509","17","https://www.rottentomatoes.com/m/the_devils_candy"
"The Great Wall | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/the_great_wall"
"Fences | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/fences"
"Assassin's Creed | Rotten Tomatoes","18%","42%","-0.602885382870833","20","https://www.rottentomatoes.com/m/assassins_creed"
"Souvenir | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/souvenir"
"Passengers | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/passengers"
"Master | Rotten Tomatoes","N/A","65%","N/A","0","https://www.rottentomatoes.com/m/master"
"Why Him? | Rotten Tomatoes","40%","51%","0.0028438816467920938","20","https://www.rottentomatoes.com/m/why_him"
"Resident Evil: The Final Chapter | Rotten Tomatoes","38%","47%","0.07119802633921306","20","https://www.rottentomatoes.com/m/resident_evil_the_final_chapter"
"Live by Night | Rotten Tomatoes","35%","42%","-0.42197106778621674","20","https://www.rottentomatoes.com/m/live_by_night"
"If Looks Could Kill | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/if_looks_could_kill"
"The Tutor | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/the_tutor"
"Youth in Oregon | Rotten Tomatoes","45%","46%","-0.6994721665978432","10","https://www.rottentomatoes.com/m/youth_in_oregon"
"The Bye Bye Man | Rotten Tomatoes","19%","22%","-0.18811222662528357","20","https://www.rottentomatoes.com/m/the_bye_bye_man"
"The Bye Bye Man | Rotten Tomatoes","19%","22%","-0.8283873399098715","20","https://www.rottentomatoes.com/m/bye_bye_man"
"Sleepless | Rotten Tomatoes","55%","50%","0.9699705839157104","1","https://www.rottentomatoes.com/m/sleepless"
"Convoy | Rotten Tomatoes","N/A","0%","N/A","0","https://www.rottentomatoes.com/m/convoy"
"xXx: Return of Xander Cage | Rotten Tomatoes","46%","37%","-0.3106885254383087","20","https://www.rottentomatoes.com/m/xxx_return_of_xander_cage"
"The Book of Love | Rotten Tomatoes","8%","64%","-0.9960688591003418","5","https://www.rottentomatoes.com/m/the_book_of_love"
"Arsenal | Rotten Tomatoes","83%","73%","0.3347293535868327","3","https://www.rottentomatoes.com/m/arsenal"
"A Dog's Purpose | Rotten Tomatoes","35%","74%","0.15132130682468414","20","https://www.rottentomatoes.com/m/a_dogs_purpose"
"I Don't Feel at Home in This World Anymore | Rotten Tomatoes","89%","77%","0.16501057147979736","17","https://www.rottentomatoes.com/m/i_dont_feel_at_home_in_this_world_anymore"
"Hot Seat | Rotten Tomatoes","11%","16%","-0.09201663732528687","2","https://www.rottentomatoes.com/m/hot_seat"
"Family Life | Rotten Tomatoes","N/A","50%","-0.9981505274772644","1","https://www.rottentomatoes.com/m/family_life"
"The Resurrection of Gavin Stone | Rotten Tomatoes","54%","84%","0.038043071826299034","6","https://www.rottentomatoes.com/m/the_resurrection_of_gavin_stone"
"Beaches | Rotten Tomatoes","42%","88%","-0.24980786442756653","10","https://www.rottentomatoes.com/m/beaches"
"The Climb | Rotten Tomatoes","N/A","72%","0.33502962191899616","3","https://www.rottentomatoes.com/m/the_climb"
"iBoy | Rotten Tomatoes","69%","40%","0.0001408606767654419","4","https://www.rottentomatoes.com/m/iboy"
"Lost in Florence (2017) | Rotten Tomatoes","14%","30%","-0.4516384942190988","7","https://www.rottentomatoes.com/m/lost_in_florence"
"Garden Party | Rotten Tomatoes","16%","25%","-0.4873811900615692","8","https://www.rottentomatoes.com/m/garden_party"
"Strange but True | Rotten Tomatoes","54%","83%","-0.11902894292558942","7","https://www.rottentomatoes.com/m/strange_but_true"
"Rings | Rotten Tomatoes","N/A","60%","N/A","0","https://www.rottentomatoes.com/m/rings"
"Waiting for the Barbarians | Rotten Tomatoes","N/A","N/A%","0.999812662601471","1","https://www.rottentomatoes.com/m/waiting_for_the_barbarians"
"November | Rotten Tomatoes","31%","41%","-0.2507155289252599","20","https://www.rottentomatoes.com/m/november"
"I Am Not Your Negro | Rotten Tomatoes","99%","83%","0.8287081172068914","20","https://www.rottentomatoes.com/m/i_am_not_your_negro"
"Growing Up Smith | Rotten Tomatoes","73%","80%","0.12209337949752808","4","https://www.rottentomatoes.com/m/growing_up_smith"
"The Covenant | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/the_covenant"
"The Covenant | Rotten Tomatoes","4%","62%","-0.8388927554090818","20","https://www.rottentomatoes.com/m/covenant"
"The LEGO Batman Movie | Rotten Tomatoes","89%","81%","0.3302648762861888","20","https://www.rottentomatoes.com/m/the_lego_batman_movie"
"Fifty Shades Darker | Rotten Tomatoes","11%","48%","-0.49403264621893567","20","https://www.rottentomatoes.com/m/fifty_shades_darker"
"The Competition | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/the_competition"
"The Competition | Rotten Tomatoes","67%","61%","0.0007296502590179443","2","https://www.rottentomatoes.com/m/competition"
